Y,ok,iter,delta,ann_TE_pct,target,cf_real,binds,violates,n_active
2013,True,38,0.04760168813205875,0.05000797221198208,106.52893685667462,106.52893685667459,True,False,437
2014,True,39,0.04942598455561226,0.04795957667590699,92.2048858822127,92.2048858822127,True,False,458
2015,True,35,0.05013366047749584,0.0469306569627336,96.16554210467865,96.16554210467865,True,False,473
2016,True,35,0.05077248727037848,0.04164947259028232,102.20904908551762,102.20904908551763,True,False,477
2017,True,38,0.0506828417508416,0.048929088737546624,92.21725865912236,92.21725865912236,True,False,491
2018,True,34,0.059880853642694465,0.05123836417056849,71.58552858087253,71.58552858087253,True,False,509
2019,True,37,0.07062079693094322,0.05078977956260658,76.33513891758507,76.33513891758506,True,False,524
2020,True,33,0.06247486127162934,0.04413565163109962,62.284150391133366,62.28415039113338,True,False,543
2021,True,32,0.06837277116235736,0.04800522665752805,58.57001120004449,58.570011200044505,True,False,544
2022,True,32,0.06730069721509777,0.052204077191800626,49.13896110893548,49.13896110893548,True,False,530
2023,True,33,0.06349126475555278,0.047523230936275564,47.868566514995386,47.86856651499539,True,False,510
2024,True,33,0.06414160081585375,0.04347283201110846,44.590334377189535,44.590334377189535,True,False,498
